年月,公司,业务线,区域,城市,门店,产品,本期销售额,销售成本,目标销售额,同业平均,单位
201701,C001,B01,Z2,Z22,Z2204,P03,116173,61271,107606,100000,CNY
201701,C001,B01,Z2,Z22,Z2204,P04,107845,72384,107578,100000,CNY
201701,C001,B01,Z2,Z23,Z2301,P01,100170,70400,100868,100000,CNY
201701,C001,B01,Z2,Z23,Z2301,P02,107308,73692,101202,100000,CNY
201701,C001,B01,Z2,Z23,Z2301,P03,106542,72449,109185,100000,CNY
201701,C001,B01,Z2,Z23,Z2302,P01,110427,75423,108712,100000,CNY
201701,C001,B01,Z2,Z23,Z2302,P02,106718,73277,109808,100000,CNY
201701,C001,B01,Z2,Z23,Z2302,P03,113809,60476,108736,100000,CNY
201701,C001,B01,Z2,Z23,Z2303,P01,105587,68180,107728,100000,CNY
201701,C001,B01,Z2,Z23,Z2303,P02,100997,62921,109472,100000,CNY
201701,C001,B01,Z2,Z23,Z2304,P01,100370,61941,106498,100000,CNY
201701,C001,B01,Z2,Z23,Z2304,P02,117609,74381,108944,100000,CNY
201701,C001,B01,Z2,Z23,Z2304,P03,109828,66140,104320,100000,CNY
201701,C001,B01,Z2,Z23,Z2304,P04,108890,67365,103429,100000,CNY
201701,C001,B01,Z3,Z31,Z3101,P01,108034,75171,100896,100000,CNY
201701,C001,B01,Z3,Z31,Z3101,P02,108062,66635,101992,100000,CNY
201701,C001,B01,Z3,Z31,Z3101,P03,108405,78835,100962,100000,CNY
201701,C001,B01,Z3,Z31,Z3102,P01,111210,74578,106615,100000,CNY
201701,C001,B01,Z3,Z31,Z3102,P02,115721,73719,100581,100000,CNY
201701,C001,B01,Z3,Z32,Z3201,P01,118771,66028,106669,100000,CNY
201701,C001,B01,Z3,Z32,Z3201,P02,103091,63007,105482,100000,CNY
201701,C001,B01,Z3,Z32,Z3201,P03,110092,74130,108995,100000,CNY
201701,C001,B01,Z3,Z32,Z3202,P01,107262,61499,103900,100000,CNY
201701,C001,B01,Z3,Z32,Z3202,P02,119882,76365,100758,100000,CNY
201701,C001,B01,Z3,Z32,Z3202,P03,117971,69344,103368,100000,CNY
201701,C001,B01,Z4,Z41,Z4101,P01,106226,78795,108338,100000,CNY
201701,C001,B01,Z4,Z41,Z4101,P02,116149,75332,102279,100000,CNY
201701,C001,B01,Z4,Z41,Z4101,P03,108675,77090,100037,100000,CNY
201701,C001,B01,Z4,Z41,Z4102,P01,118029,73515,103974,100000,CNY
201701,C001,B01,Z4,Z41,Z4102,P02,109754,73720,109187,100000,CNY
201701,C001,B01,Z4,Z41,Z4102,P03,118972,65711,100722,100000,CNY
201701,C001,B01,Z4,Z42,Z4201,P01,116317,73133,109762,100000,CNY
201701,C001,B01,Z4,Z42,Z4201,P02,114819,73269,105271,100000,CNY
201701,C001,B01,Z4,Z42,Z4201,P03,118679,79814,107727,100000,CNY
201701,C001,B01,Z4,Z42,Z4202,P01,111574,64929,101346,100000,CNY
201701,C001,B01,Z4,Z42,Z4202,P02,119364,78600,107529,100000,CNY
201701,C001,B01,Z4,Z42,Z4202,P03,104781,64051,104358,100000,CNY
201701,C001,B01,Z5,Z51,Z5101,P01,119092,72312,101789,100000,CNY
201701,C001,B01,Z5,Z51,Z5101,P02,101988,72008,102886,100000,CNY
201701,C001,B01,Z5,Z51,Z5101,P03,111438,71501,104499,100000,CNY
201701,C001,B01,Z5,Z51,Z5102,P01,118033,75939,107584,100000,CNY
201701,C001,B01,Z5,Z51,Z5102,P02,108746,73521,101692,100000,CNY
201701,C001,B01,Z5,Z51,Z5102,P03,103549,63314,103891,100000,CNY
201701,C001,B01,Z5,Z52,Z5201,P01,114032,71848,102133,100000,CNY
201701,C001,B01,Z5,Z52,Z5201,P02,117905,76111,102940,100000,CNY
201701,C001,B01,Z5,Z52,Z5201,P03,113756,68694,107850,100000,CNY
201701,C001,B01,Z5,Z52,Z5202,P01,110433,66251,100616,100000,CNY
201701,C001,B01,Z5,Z52,Z5202,P02,109662,68128,108335,100000,CNY
201701,C001,B01,Z5,Z52,Z5202,P03,108970,79958,100278,100000,CNY
201701,C001,B01,Z6,Z61,Z6101,P01,110237,69480,100930,100000,CNY
201701,C001,B01,Z6,Z61,Z6101,P02,110546,65069,108330,100000,CNY
201701,C001,B01,Z6,Z61,Z6101,P03,109756,66578,103749,100000,CNY
201701,C001,B01,Z6,Z61,Z6101,P04,110595,74597,101466,100000,CNY
201701,C001,B01,Z6,Z61,Z6101,P05,117532,60497,104489,100000,CNY
201701,C001,B02,Z1,Z11,Z1101,P01,114372,63868,102635,100000,CNY
201701,C001,B02,Z1,Z11,Z1101,P02,119034,65437,104969,100000,CNY
201701,C001,B02,Z1,Z11,Z1101,P03,104160,64782,109207,100000,CNY
201701,C001,B02,Z1,Z11,Z1101,P04,112881,72283,104524,100000,CNY
201701,C001,B02,Z1,Z11,Z1101,P05,102564,63648,103159,100000,CNY
201701,C001,B02,Z1,Z11,Z1102,P01,100590,72766,103170,100000,CNY
201701,C001,B02,Z1,Z11,Z1102,P02,111994,60225,102934,100000,CNY
201701,C001,B02,Z1,Z11,Z1102,P03,113389,73305,100470,100000,CNY
201701,C001,B02,Z1,Z11,Z1102,P04,105275,74287,105357,100000,CNY
201701,C001,B02,Z1,Z11,Z1102,P05,117878,68846,106193,100000,CNY
201701,C001,B02,Z1,Z11,Z1103,P01,119540,75366,101838,100000,CNY
201701,C001,B02,Z1,Z11,Z1103,P02,113750,71974,108762,100000,CNY
201701,C001,B02,Z1,Z11,Z1103,P03,115010,62151,105362,100000,CNY
201701,C001,B02,Z1,Z11,Z1103,P04,104555,69440,100928,100000,CNY
201701,C001,B02,Z1,Z11,Z1103,P05,109625,67290,104190,100000,CNY
201701,C001,B02,Z1,Z11,Z1104,P01,111836,68361,103486,100000,CNY
201701,C001,B02,Z1,Z11,Z1104,P02,104502,78276,107027,100000,CNY
201701,C001,B02,Z1,Z11,Z1104,P03,117465,71428,108563,100000,CNY
201701,C001,B02,Z1,Z11,Z1104,P04,117085,76546,101326,100000,CNY
201701,C001,B02,Z1,Z11,Z1105,P01,112745,75807,107896,100000,CNY
201701,C001,B02,Z1,Z11,Z1105,P02,102667,74674,103018,100000,CNY
201701,C001,B02,Z1,Z11,Z1105,P03,111269,72018,108122,100000,CNY
201701,C001,B02,Z1,Z11,Z1105,P04,114526,67376,101580,100000,CNY
201701,C001,B02,Z1,Z11,Z1106,P01,104305,68783,106379,100000,CNY
201701,C001,B02,Z1,Z11,Z1106,P02,114758,67754,103842,100000,CNY
201701,C001,B02,Z1,Z11,Z1106,P03,118685,65803,108599,100000,CNY
201701,C001,B02,Z1,Z12,Z1201,P01,112427,63578,108800,100000,CNY
201701,C001,B02,Z1,Z12,Z1201,P02,117163,62208,102977,100000,CNY
201701,C001,B02,Z1,Z12,Z1201,P03,100892,68659,102470,100000,CNY
201701,C001,B02,Z1,Z12,Z1201,P04,114581,66284,109112,100000,CNY
201701,C001,B02,Z1,Z12,Z1202,P01,118189,78872,109840,100000,CNY
201701,C001,B02,Z1,Z12,Z1202,P02,112181,62240,102479,100000,CNY
201701,C001,B02,Z1,Z12,Z1202,P03,115297,79858,104166,100000,CNY
201701,C001,B02,Z1,Z13,Z1301,P01,118018,71957,102263,100000,CNY
201701,C001,B02,Z1,Z13,Z1301,P02,105145,60414,104213,100000,CNY
201701,C001,B02,Z1,Z13,Z1301,P03,106702,71732,107615,100000,CNY
201701,C001,B02,Z1,Z13,Z1301,P04,100230,79378,103218,100000,CNY
201701,C001,B02,Z1,Z13,Z1302,P01,106154,69826,104195,100000,CNY
201701,C001,B02,Z1,Z13,Z1302,P02,116283,68077,102659,100000,CNY
201701,C001,B02,Z1,Z14,Z1401,P01,108648,64197,104751,100000,CNY
201701,C001,B02,Z1,Z14,Z1401,P02,117870,79534,100614,100000,CNY
201701,C001,B02,Z1,Z14,Z1401,P03,117435,66272,108791,100000,CNY
201701,C001,B02,Z1,Z14,Z1402,P01,117069,62987,105540,100000,CNY
201701,C001,B02,Z1,Z14,Z1402,P02,110339,62311,103296,100000,CNY
201701,C001,B02,Z1,Z14,Z1402,P03,117706,62570,105912,100000,CNY
201701,C001,B02,Z1,Z15,Z1501,P01,103495,65564,105227,100000,CNY
201701,C001,B02,Z1,Z15,Z1501,P02,106125,74704,100774,100000,CNY
201701,C001,B02,Z1,Z15,Z1501,P03,115920,63372,107352,100000,CNY
201701,C001,B02,Z1,Z15,Z1501,P04,119537,64613,101120,100000,CNY
201701,C001,B02,Z1,Z15,Z1501,P05,111553,79350,106940,100000,CNY
201701,C001,B02,Z1,Z16,Z1601,P01,104729,66802,109390,100000,CNY
201701,C001,B02,Z1,Z16,Z1601,P02,100400,62062,107655,100000,CNY
201701,C001,B02,Z1,Z16,Z1601,P03,117633,69696,104619,100000,CNY
201701,C001,B02,Z1,Z16,Z1601,P04,100093,78110,101082,100000,CNY
201701,C001,B02,Z1,Z16,Z1601,P05,110172,74768,102683,100000,CNY
201701,C001,B02,Z3,Z31,Z3101,P01,116454,65553,105730,100000,CNY
201701,C001,B02,Z3,Z31,Z3101,P02,105708,63731,108242,100000,CNY
201701,C001,B02,Z3,Z31,Z3101,P03,119446,77445,102801,100000,CNY
201701,C001,B02,Z3,Z31,Z3102,P01,116979,70611,104977,100000,CNY
201701,C001,B02,Z3,Z31,Z3102,P02,110357,78738,100331,100000,CNY
201701,C001,B02,Z3,Z32,Z3201,P01,102532,75550,101651,100000,CNY
201701,C001,B02,Z3,Z32,Z3201,P02,116935,73797,101809,100000,CNY
201701,C001,B02,Z3,Z32,Z3201,P03,104707,76214,107458,100000,CNY
201701,C001,B02,Z3,Z32,Z3202,P01,118827,77531,109983,100000,CNY
201701,C001,B02,Z3,Z32,Z3202,P02,111738,66791,107811,100000,CNY
201701,C001,B02,Z3,Z32,Z3202,P03,101761,70254,102777,100000,CNY
201701,C001,B04,Z1,Z11,Z1101,P01,112635,65895,107399,100000,CNY
201701,C001,B04,Z1,Z11,Z1101,P02,109664,61999,104747,100000,CNY
201701,C001,B04,Z1,Z11,Z1101,P03,117261,65205,100086,100000,CNY
201701,C001,B04,Z1,Z11,Z1101,P04,116983,74092,102064,100000,CNY
201701,C001,B04,Z1,Z11,Z1101,P05,109182,79256,105706,100000,CNY
201701,C001,B04,Z1,Z11,Z1102,P01,101318,70058,109884,100000,CNY
201701,C001,B04,Z1,Z11,Z1102,P02,102441,63074,103144,100000,CNY
201701,C001,B04,Z1,Z11,Z1102,P03,111845,79212,106757,100000,CNY
201701,C001,B04,Z1,Z11,Z1102,P04,116005,71452,108041,100000,CNY
201701,C001,B04,Z1,Z11,Z1102,P05,112840,76792,108810,100000,CNY
201701,C001,B04,Z1,Z11,Z1103,P01,115687,79043,106967,100000,CNY
201701,C001,B04,Z1,Z11,Z1103,P02,109961,68206,109281,100000,CNY
201701,C001,B04,Z1,Z11,Z1103,P03,119817,78066,101131,100000,CNY
201701,C001,B04,Z1,Z11,Z1103,P04,108897,73449,101806,100000,CNY
201701,C001,B04,Z1,Z11,Z1103,P05,102148,66503,103837,100000,CNY
201701,C001,B04,Z1,Z11,Z1104,P01,116340,66533,106362,100000,CNY
201701,C001,B04,Z1,Z11,Z1104,P02,107958,70442,105251,100000,CNY
201701,C001,B04,Z1,Z11,Z1104,P03,102825,63396,101846,100000,CNY
201701,C001,B04,Z1,Z11,Z1104,P04,113983,66472,103438,100000,CNY
201701,C001,B04,Z1,Z11,Z1105,P01,100432,70507,109005,100000,CNY
201701,C001,B04,Z1,Z11,Z1105,P02,114450,61766,104017,100000,CNY
201701,C001,B04,Z1,Z11,Z1105,P03,104090,76923,105939,100000,CNY
201701,C001,B04,Z1,Z11,Z1105,P04,100884,74768,101127,100000,CNY
201701,C001,B04,Z1,Z11,Z1106,P01,102195,66740,104450,100000,CNY
201701,C001,B04,Z1,Z11,Z1106,P02,110732,64204,105813,100000,CNY
201701,C001,B04,Z1,Z11,Z1106,P03,112672,61134,104905,100000,CNY
201701,C001,B04,Z1,Z12,Z1201,P01,106985,76741,105932,100000,CNY
201701,C001,B04,Z1,Z12,Z1201,P02,115601,60985,104630,100000,CNY
201701,C001,B04,Z1,Z12,Z1201,P03,101961,72666,107244,100000,CNY
201701,C001,B04,Z1,Z12,Z1201,P04,117824,71187,107296,100000,CNY
201701,C001,B04,Z1,Z12,Z1202,P01,113408,78341,107119,100000,CNY
201701,C001,B04,Z1,Z12,Z1202,P02,107980,64976,100436,100000,CNY
201701,C001,B04,Z1,Z12,Z1202,P03,113889,72234,103959,100000,CNY
201701,C001,B04,Z1,Z13,Z1301,P01,119345,71058,108924,100000,CNY
201701,C001,B04,Z1,Z13,Z1301,P02,111425,74331,104965,100000,CNY
201701,C001,B04,Z1,Z13,Z1301,P03,117694,77270,106501,100000,CNY
201701,C001,B04,Z1,Z13,Z1301,P04,102942,63808,100373,100000,CNY
201701,C001,B04,Z1,Z13,Z1302,P01,116682,70279,103476,100000,CNY
201701,C001,B04,Z1,Z13,Z1302,P02,115956,77311,101490,100000,CNY
201701,C001,B04,Z1,Z14,Z1401,P01,111523,66059,104856,100000,CNY
201701,C001,B04,Z1,Z14,Z1401,P02,103471,64326,104225,100000,CNY
201701,C001,B04,Z1,Z14,Z1401,P03,103185,77008,107650,100000,CNY
201701,C001,B04,Z1,Z14,Z1402,P01,114119,64910,100923,100000,CNY
201701,C001,B04,Z1,Z14,Z1402,P02,105988,78048,102877,100000,CNY
201701,C001,B04,Z1,Z14,Z1402,P03,101338,62680,107541,100000,CNY
201701,C001,B04,Z1,Z15,Z1501,P01,117963,78386,101793,100000,CNY
201701,C001,B04,Z1,Z15,Z1501,P02,107926,65262,102586,100000,CNY
201701,C001,B04,Z1,Z15,Z1501,P03,114078,79730,100793,100000,CNY
201701,C001,B04,Z1,Z15,Z1501,P04,118923,65534,104656,100000,CNY
201701,C001,B04,Z1,Z15,Z1501,P05,102538,63182,102705,100000,CNY
201701,C001,B04,Z1,Z16,Z1601,P01,113331,61577,107942,100000,CNY
201701,C001,B04,Z1,Z16,Z1601,P02,100958,60728,104315,100000,CNY
201701,C001,B04,Z1,Z16,Z1601,P03,108353,77883,109560,100000,CNY
201701,C001,B04,Z1,Z16,Z1601,P04,109217,78767,108888,100000,CNY
201701,C001,B04,Z1,Z16,Z1601,P05,100806,78553,108140,100000,CNY
201701,C001,B04,Z4,Z41,Z4101,P01,113140,65231,103117,100000,CNY
201701,C001,B04,Z4,Z41,Z4101,P02,106501,62877,108994,100000,CNY
201701,C001,B04,Z4,Z41,Z4101,P03,112208,70080,108644,100000,CNY
201701,C001,B04,Z4,Z41,Z4102,P01,109623,72765,106611,100000,CNY
201701,C001,B04,Z4,Z41,Z4102,P02,110429,79578,104071,100000,CNY
201701,C001,B04,Z4,Z41,Z4102,P03,113406,69640,103248,100000,CNY
201701,C001,B04,Z4,Z42,Z4201,P01,103309,78894,104722,100000,CNY
201701,C001,B04,Z4,Z42,Z4201,P02,111825,72921,109848,100000,CNY
201701,C001,B04,Z4,Z42,Z4201,P03,103445,69087,108936,100000,CNY
201701,C001,B04,Z4,Z42,Z4202,P01,118513,64877,105393,100000,CNY
201701,C001,B04,Z4,Z42,Z4202,P02,107536,73122,102811,100000,CNY
201701,C001,B04,Z4,Z42,Z4202,P03,112160,73201,109362,100000,CNY
201701,C001,B03,Z1,Z11,Z1101,P01,102310,67197,103347,100000,CNY
201701,C001,B03,Z1,Z11,Z1101,P02,111190,79670,104382,100000,CNY
201701,C001,B03,Z1,Z11,Z1101,P03,113112,65414,101984,100000,CNY
201701,C001,B03,Z1,Z11,Z1101,P04,102737,75542,101668,100000,CNY
201701,C001,B03,Z1,Z11,Z1101,P05,112923,72011,105934,100000,CNY
201701,C001,B03,Z1,Z11,Z1102,P01,112998,60866,100163,100000,CNY
201701,C001,B03,Z1,Z11,Z1102,P02,101733,68826,107352,100000,CNY
201701,C001,B03,Z1,Z11,Z1102,P03,103053,71673,109672,100000,CNY
201701,C001,B03,Z1,Z11,Z1102,P04,111103,73936,102451,100000,CNY
201701,C001,B03,Z1,Z11,Z1102,P05,110618,62047,109870,100000,CNY
201701,C001,B03,Z1,Z11,Z1103,P01,118313,67074,100144,100000,CNY
201701,C001,B03,Z1,Z11,Z1103,P02,108225,77609,105457,100000,CNY
201701,C001,B03,Z1,Z11,Z1103,P03,104406,62791,107917,100000,CNY
201701,C001,B03,Z1,Z11,Z1103,P04,111786,67133,100097,100000,CNY
201701,C001,B03,Z1,Z11,Z1103,P05,113181,62031,104615,100000,CNY
201701,C001,B03,Z1,Z11,Z1104,P01,106704,72672,108235,100000,CNY
201701,C001,B03,Z1,Z11,Z1104,P02,108074,75383,102209,100000,CNY
201701,C001,B03,Z1,Z11,Z1104,P03,104083,76822,108032,100000,CNY
201701,C001,B03,Z1,Z11,Z1104,P04,112287,76724,100605,100000,CNY
201701,C001,B03,Z1,Z11,Z1105,P01,107278,74375,101112,100000,CNY
201701,C001,B03,Z1,Z11,Z1105,P02,106760,75825,104140,100000,CNY
201701,C001,B03,Z1,Z11,Z1105,P03,100093,78159,105543,100000,CNY
201701,C001,B03,Z1,Z11,Z1105,P04,110916,77813,108387,100000,CNY
201701,C001,B03,Z1,Z11,Z1106,P01,107674,75993,102680,100000,CNY
201701,C001,B03,Z1,Z11,Z1106,P02,100430,62154,106533,100000,CNY
201701,C001,B03,Z1,Z11,Z1106,P03,112981,61059,102230,100000,CNY
201701,C001,B03,Z1,Z12,Z1201,P01,117793,74576,101919,100000,CNY
201701,C001,B03,Z1,Z12,Z1201,P02,116966,78298,105499,100000,CNY
201701,C001,B03,Z1,Z12,Z1201,P03,106455,66870,101527,100000,CNY
201701,C001,B03,Z1,Z12,Z1201,P04,100032,76777,101579,100000,CNY
201701,C001,B03,Z1,Z12,Z1202,P01,108009,61006,108958,100000,CNY
201701,C001,B03,Z1,Z12,Z1202,P02,107820,64911,101412,100000,CNY
201701,C001,B03,Z1,Z12,Z1202,P03,118619,78439,109707,100000,CNY
201701,C001,B03,Z1,Z13,Z1301,P01,100846,62427,108948,100000,CNY
201701,C001,B03,Z1,Z13,Z1301,P02,105527,74486,101965,100000,CNY
201701,C001,B03,Z1,Z13,Z1301,P03,109182,76153,104670,100000,CNY
201701,C001,B03,Z1,Z13,Z1301,P04,107173,71590,103312,100000,CNY
201701,C001,B03,Z1,Z13,Z1302,P01,107293,72948,104865,100000,CNY
201701,C001,B03,Z1,Z13,Z1302,P02,112705,66403,100081,100000,CNY
201701,C001,B03,Z1,Z14,Z1401,P01,117365,77171,102093,100000,CNY
201701,C001,B03,Z1,Z14,Z1401,P02,101826,64048,105349,100000,CNY
201701,C001,B03,Z1,Z14,Z1401,P03,101481,78397,106653,100000,CNY
201701,C001,B03,Z1,Z14,Z1402,P01,103820,68181,109408,100000,CNY
201701,C001,B03,Z1,Z14,Z1402,P02,110446,73258,105243,100000,CNY
201701,C001,B03,Z1,Z14,Z1402,P03,102003,76192,105978,100000,CNY
201701,C001,B03,Z1,Z15,Z1501,P01,115025,72363,101173,100000,CNY
201701,C001,B03,Z1,Z15,Z1501,P02,114548,62446,100560,100000,CNY
201701,C001,B03,Z1,Z15,Z1501,P03,104105,79874,100512,100000,CNY
201701,C001,B03,Z1,Z15,Z1501,P04,116184,74908,109787,100000,CNY
201701,C001,B03,Z1,Z15,Z1501,P05,116335,65916,100034,100000,CNY
201701,C001,B03,Z1,Z16,Z1601,P01,110848,63941,108768,100000,CNY
201701,C001,B03,Z1,Z16,Z1601,P02,108070,78991,102830,100000,CNY
201701,C001,B03,Z1,Z16,Z1601,P03,100039,71609,108291,100000,CNY
201701,C001,B03,Z1,Z16,Z1601,P04,117508,68692,100414,100000,CNY
201701,C001,B03,Z1,Z16,Z1601,P05,119540,70884,107403,100000,CNY
201701,C001,B03,Z4,Z41,Z4101,P01,110996,65071,100391,100000,CNY
201701,C001,B03,Z4,Z41,Z4101,P02,112782,69138,103675,100000,CNY
201701,C001,B03,Z4,Z41,Z4101,P03,107428,60842,101827,100000,CNY
201701,C001,B03,Z4,Z41,Z4102,P01,104771,61663,108250,100000,CNY
201701,C001,B03,Z4,Z41,Z4102,P02,111323,61398,101088,100000,CNY
201701,C001,B03,Z4,Z41,Z4102,P03,117520,70084,109374,100000,CNY
201701,C001,B03,Z4,Z42,Z4201,P01,110052,60674,106407,100000,CNY
201701,C001,B03,Z4,Z42,Z4201,P02,106095,73015,104540,100000,CNY
201701,C001,B03,Z4,Z42,Z4201,P03,105725,65272,104892,100000,CNY
201701,C001,B03,Z4,Z42,Z4202,P01,119632,66133,100833,100000,CNY
201701,C001,B03,Z4,Z42,Z4202,P02,102275,72387,104731,100000,CNY
201701,C001,B03,Z4,Z42,Z4202,P03,103369,71975,104125,100000,CNY
201701,C001,B03,Z5,Z51,Z5101,P01,106923,74233,108467,100000,CNY
201701,C001,B03,Z5,Z51,Z5101,P02,113136,63245,101830,100000,CNY
201701,C001,B03,Z5,Z51,Z5101,P03,108804,77538,103807,100000,CNY
201701,C001,B03,Z5,Z51,Z5102,P01,115439,63879,108375,100000,CNY
201701,C001,B03,Z5,Z51,Z5102,P02,104973,78124,109928,100000,CNY
201701,C001,B03,Z5,Z51,Z5102,P03,105060,76124,102473,100000,CNY
201701,C001,B03,Z5,Z52,Z5201,P01,111707,75833,107403,100000,CNY
201701,C001,B03,Z5,Z52,Z5201,P02,111276,67054,101484,100000,CNY
